real	predict	diff	diff 
499	28681.64562	7.82851267	7.82851267
6446	34948.91644	7.91747679	7.91747679
17418	-11252.049	-7.9639025	7.9639025
64478	93302.62075	8.0068391	8.0068391
3597	32530.12198	8.03697833	8.03697833
712	-28740.20247	-8.18116735	8.18116735
58813	88634.67622	8.28379895	8.28379895
3599	33880.29189	8.41146997	8.41146997
18316	48939.03697	8.50639916	8.50639916
36921	68544.25404	8.78423723	8.78423723
1368	33223.73174	8.84881437	8.84881437
15238	-17085.07398	-8.97863166	8.97863166
61578	29212.93238	-8.99029656	8.99029656
6648	39126.52648	9.02181291	9.02181291
39581	72376.23931	9.1097887	9.1097887
55248	88767.00898	9.31083583	9.31083583
171306	204831.4657	9.31262937	9.31262937
12099	45638.96998	9.31665833	9.31665833
13211	46757.13443	9.31837068	9.31837068
15750	50185.49842	9.56541623	9.56541623
159313	193977.6427	9.62906742	9.62906742
20839	57463.54347	10.1734843	10.1734843
62044	98680.65065	10.1768474	10.1768474
67	-36656.34856	-10.20093016	10.20093016
74006	110840.553	10.23182027	10.23182027
57941	94797.63136	10.23795316	10.23795316
96935	135768.2249	10.78700692	10.78700692
92524	53530.24706	-10.83159804	10.83159804
14492	53572.94978	10.85581938	10.85581938
12432	51564.38611	10.87010725	10.87010725
17717	-21421.84796	-10.87190221	10.87190221
46	-39132.45306	-10.88290363	10.88290363
1019402	1059423.101	11.11697252	11.11697252
62859	22634.70695	-11.17341474	11.17341474
60	-41005.29485	-11.40702635	11.40702635
26502	69444.47332	11.92846481	11.92846481
46429	89710.90365	12.02275101	12.02275101
91163	135107.1579	12.20671053	12.20671053
96098	140112.8736	12.22635379	12.22635379
6067	50482.04168	12.33751158	12.33751158
9150	54731.84908	12.66162474	12.66162474
55347	100932.3077	12.66258547	12.66258547
18010	64903.88477	13.0260791	13.0260791
41580	89143.30777	13.21202994	13.21202994
3942	-44364.08182	-13.41835606	13.41835606
8584	58915.78959	13.98105266	13.98105266
20044	-30326.22431	-13.99172897	13.99172897
11200	-40205.44109	-14.27928919	14.27928919
905	-51520.39295	-14.56260915	14.56260915
495	53098.29528	14.61202647	14.61202647
2040	-52725.58769	-15.21266325	15.21266325
7295	62969.17886	15.46504968	15.46504968
266	56946.77164	15.74465879	15.74465879
49069	108988.7051	16.64436254	16.64436254
40437	100440.2657	16.66757381	16.66757381
1374	-59441.24789	-16.89312441	16.89312441
151816	90688.9946	-16.97972372	16.97972372
169883	108074.3345	-17.16907375	17.16907375
3615	70029.213	18.4483925	18.4483925
13758	80566.34898	18.55787472	18.55787472
12430	83517.74635	19.74659621	19.74659621
2796	-71541.17913	-20.64921643	20.64921643
3415	79727.86007	21.19801669	21.19801669
240738	164279.4447	-21.23848757	21.23848757
45733	122854.6335	21.42267596	21.42267596
169863	90033.99489	-22.17472364	22.17472364
15489	96273.03887	22.4400108	22.4400108
272439	190549.2967	-22.7471398	22.7471398
15598	98646.10773	23.06891881	23.06891881
17517	-67492.17045	-23.61365846	23.61365846
40342	130589.7619	25.06882275	25.06882275
187176	96662.79486	-25.14255698	25.14255698
105	91920.95019	25.50443061	25.50443061
374	-94839.94162	-26.44831712	26.44831712
7997	106637.7638	27.40021216	27.40021216
171870	273525.9636	28.23776767	28.23776767
1854	-100742.7364	-28.49909343	28.49909343
3249	-102291.5113	-29.3168087	29.3168087
35761	141671.0196	29.4194499	29.4194499
11367	117398.7737	29.45327046	29.45327046
452373	344489.7468	-29.96757033	29.96757033
66092	174822.7958	30.20299884	30.20299884
271171	157821.2579	-31.48603948	31.48603948
19696	133052.8395	31.48801098	31.48801098
29782	150417.2271	33.50978531	33.50978531
17504	-103634.5519	-33.64959776	33.64959776
11737	-109463.1474	-33.66670762	33.66670762
17976	143064.271	34.74674195	34.74674195
206099	78883.40511	-35.33766525	35.33766525
87267	-40132.55926	-35.38876646	35.38876646
3526	133178.7106	36.01464183	36.01464183
79426	217132.9485	38.25193014	38.25193014
624	145118.5894	40.13738594	40.13738594
29292	175968.2976	40.74341601	40.74341601
181464	34232.67165	-40.89759121	40.89759121
440939	288543.1109	-42.33219142	42.33219142
448022	294445.9056	-42.66002622	42.66002622
11707	188755.1387	49.18003854	49.18003854
11401	188755.1387	49.26503854	49.26503854
281160	99171.81221	-50.55227439	50.55227439
10989	197370.2459	51.77256831	51.77256831
566953	376955.1179	-52.77718947	52.77718947
513508	307175.4536	-57.31459622	57.31459622
382344	171943.8335	-58.4444907	58.4444907
374660	161015.512	-59.34569111	59.34569111
10902	225090.0616	59.49668379	59.49668379
1528	225328.1581	62.16671059	62.16671059
187654	415387.8397	63.25939993	63.25939993
339299	85121.07645	-70.60497876	70.60497876
778366	513926.8887	-73.45530868	73.45530868
17131	304457.3371	79.81287142	79.81287142
87107	411279.203	90.04783416	90.04783416
87	351549.781	97.62855026	97.62855026
514004	146141.5395	-102.1840168	102.1840168
847087	451182.5317	-109.9734634	109.9734634
1926	400643.3679	110.7548244	110.7548244
575732	174758.4342	-111.3815461	111.3815461
8099	415452.9788	113.153883	113.153883
544809	113290.1369	-119.8663509	119.8663509
94917	529079.0625	120.6005729	120.6005729
23439	462143.6662	121.8624073	121.8624073
98301	537036.1757	121.8708821	121.8708821
417	471050.4823	130.7315229	130.7315229
8442	494801.1047	135.0997513	135.0997513
920176	423981.8715	-137.8317024	137.8317024
1754	529026.4385	146.4645663	146.4645663
1510	544993.2888	150.9675802	150.9675802
1059049	485946.9126	-159.1950243	159.1950243
1565070	545890.3678	-283.1054534	283.1054534
1687973	542041.8914	-318.3141968	318.3141968
1974535	572713.1045	-389.394971	389.394971
